,platform,genre,title,score,Unnamed: 0.1,nplatform,ngenre
1823,PC,strategy,Offworld Trading Company,78,,14,1
1824,PC,strategy,Airborne Assault: Conquest of the Aegean,78,,14,1
1828,PC,strategy,Dungelot: Shattered Lands,78,,14,1
1829,PC,strategy,Sorcerer King: Rivals,78,,14,1
1831,PlayStation 4,strategy,Tooth and Tail,78,,15,1
1832,PC,strategy,Legendary Gary,78,,14,1
1833,PC,strategy,Stellaris: Distant Stars,78,,14,1
1834,PlayStation 4,strategy,Age of Wonders: Planetfall,78,,15,1
1835,PlayStation 4,strategy,Megaquarium,78,,15,1
1836,PC,strategy,Age of Wonders: Planetfall - Revelations,78,,14,1
1838,Xbox One,strategy,Spaceland,78,,12,1
1839,PC,strategy,Europa Universalis IV: Emperor,78,,14,1
1840,3DS,strategy,Tom Clancy's Ghost Recon: Shadow Wars,77,,9,1
1841,PC,strategy,Deathtrap,77,,14,1
1842,PC,strategy,Galactic Civilizations: Altarian Prophecy,77,,14,1
1843,PC,strategy,RISK: Factions,77,,14,1
1844,Xbox One,strategy,Railway Empire,77,,12,1
1845,Xbox One,strategy,Regalia: Of Men and Monarchs - Royal Edition,77,,12,1
1846,PC,strategy,Ground Control: Dark Conspiracy,77,,14,1
1847,PC,strategy,Emperor: Rise of the Middle Kingdom,77,,14,1
1848,PC,strategy,Ultimate Ride Coaster Deluxe,77,,14,1
1849,PC,strategy,Battlefleet Gothic: Armada 2,77,,14,1
1850,Switch,strategy,Story of Seasons: Friends of Mineral Town,77,,19,1
1851,Xbox One,strategy,Aven Colony,77,,12,1
1852,Xbox 360,strategy,RISK: Factions,77,,5,1
1855,PlayStation 4,strategy,Othercide,77,,15,1
1857,PC,strategy,Gary Grigsby's World at War,77,,14,1
1858,PC,strategy,Lords of the Realm II,77,,14,1
1859,PC,strategy,Etherlords,77,,14,1
1860,PC,strategy,Strange Adventures in Infinite Space,77,,14,1
1861,PC,strategy,They Are Billions,77,,14,1
1862,PC,strategy,Soldiers: Heroes of World War II,77,,14,1
1863,PlayStation 4,strategy,Stellaris: Console Edition,77,,15,1
1864,PC,strategy,Command & Conquer 3: Kane's Wrath,77,,14,1
1865,PC,strategy,Men of War: Assault Squad,77,,14,1
1866,PC,strategy,Arena Wars,77,,14,1
1867,PC,strategy,Anomaly 2,77,,14,1
1869,PC,strategy,Ancestors Legacy,77,,14,1
1870,PC,strategy,Massive Assault,77,,14,1
1871,PC,strategy,Mini Metro,77,,14,1
1872,Switch,strategy,XCOM 2 Collection,77,,19,1
1873,PC,strategy,Universe at War: Earth Assault,77,,14,1
1875,PC,strategy,Interloper,77,,14,1
1876,PC,strategy,SpellForce 3: Fallen God,77,,14,1
1877,PC,strategy,Fae Tactics,77,,14,1
1878,PC,strategy,Hearts of Iron III,77,,14,1
1879,PC,strategy,Nexus: The Jupiter Incident,77,,14,1
1880,PC,strategy,Supreme Commander 2,77,,14,1
1881,PC,strategy,NEO Scavenger,77,,14,1
1883,PC,strategy,Sid Meier's Railroads!,77,,14,1
1884,PC,strategy,Magic Duels: Origins,77,,14,1
1885,PlayStation 4,strategy,Hitman GO: Definitive Edition,77,,15,1
1886,PC,strategy,Tin Soldiers: Alexander the Great,77,,14,1
1887,PC,strategy,Heroes of Might and Magic V,77,,14,1
1888,PlayStation Vita,strategy,Tokyo Jungle Mobile,77,,11,1
1889,PC,strategy,Total War: Attila - Age of Charlemagne,77,,14,1
1892,PC,strategy,Magic: Duels of the Planeswalkers 2014,77,,14,1
1894,PC,strategy,Battlefleet Gothic: Armada,77,,14,1
1895,PC,strategy,Knights of Honor,77,,14,1
1897,PC,strategy,MoonBase Commander,77,,14,1
1899,Xbox 360,strategy,Outpost Kaloki X,77,,5,1
1900,Xbox 360,strategy,Command & Conquer: Red Alert 3,77,,5,1
1901,Wii,strategy,New Play Control! Pikmin,77,,0,1
1902,PC,strategy,Might & Magic: Heroes VI,77,,14,1
1904,PC,strategy,XCOM: Chimera Squad,77,,14,1
1905,PC,strategy,Endless Space,77,,14,1
1906,Xbox 360,strategy,Tom Clancy's EndWar,77,,5,1
1907,PC,strategy,SimCity 3000 Unlimited,77,,14,1
1908,PC,strategy,Starfleet Command Volume II: Empires at War,77,,14,1
1909,PC,strategy,Unrailed!,77,,14,1
1910,Xbox 360,strategy,Tropico 4,77,,5,1
1911,PC,strategy,Crusader Kings II: Sons of Abraham,77,,14,1
1912,PC,strategy,Battlestar Galactica Deadlock,77,,14,1
1914,PC,strategy,Little Big Workshop,77,,14,1
1915,PC,strategy,Grey Goo,77,,14,1
1916,PC,strategy,Magic: The Gathering - Duels of the Planeswalkers 2012,77,,14,1
1917,PC,strategy,Xenonauts,77,,14,1
1918,PC,strategy,Perimeter,77,,14,1
1925,PC,strategy,Battle Academy 2: Eastern Front,77,,14,1
1926,Switch,strategy,7 Billion Humans,77,,19,1
1927,Switch,strategy,Northgard,77,,19,1
1928,PlayStation Vita,strategy,Plants vs. Zombies,77,,11,1
1929,PC,strategy,"Warhammer 40,000: Dawn of War III",77,,14,1
1930,PC,strategy,Magic: The Gathering - Duels of the Planeswalkers 2013,77,,14,1
1931,PC,strategy,Dark Reign 2,77,,14,1
1932,Xbox 360,strategy,A World of Keflings,77,,5,1
1934,PC,strategy,Men of War: Red Tide,77,,14,1
1936,Switch,strategy,Tiny Metal: Full Metal Rumble,77,,19,1
1937,PC,strategy,Cleopatra: Queen of the Nile,77,,14,1
1938,Xbox 360,strategy,Awesomenauts,77,,5,1
1939,PlayStation 4,strategy,DG2: Defense Grid 2,77,,15,1
1940,PlayStation 4,strategy,Tropico 5,76,,15,1
1941,PlayStation 3,strategy,Worms 2: Armageddon,76,,1,1
1942,PC,strategy,Worms W.M.D,76,,14,1
1943,PC,strategy,From Dust,76,,14,1
1944,Xbox One,strategy,The Banner Saga,76,,12,1
1948,PC,strategy,Beholder 2,76,,14,1
1949,Switch,strategy,Disgaea 1 Complete,76,,19,1
1950,PC,strategy,Star Renegades,76,,14,1
1951,PC,strategy,Patrician II: Quest for Power,76,,14,1
1952,PC,strategy,Trevor Chan's Restaurant Empire,76,,14,1
1953,PlayStation 3,strategy,Gatling Gears,76,,1,1
1954,PC,strategy,Battlestations: Midway,76,,14,1
1955,PC,strategy,Heroes of Newerth,76,,14,1
1956,PC,strategy,Polaris Sector,76,,14,1
1957,PlayStation 3,strategy,R.U.S.E.,76,,1,1
1958,PC,strategy,Frozen Synapse 2,76,,14,1
1959,PC,strategy,Vegas Tycoon,76,,14,1
1960,PC,strategy,Total War: WARHAMMER - Realm of the Wood Elves,76,,14,1
1962,PC,strategy,Chronicle: RuneScape Legends,76,,14,1
1963,PC,strategy,Driftland: The Magic Revival,76,,14,1
1964,PC,strategy,Worbital,76,,14,1
1965,PC,strategy,Victoria II: A House Divided,76,,14,1
1966,PC,strategy,Master X Master,76,,14,1
1967,PlayStation 4,strategy,Tropico 6,76,,15,1
1968,PC,strategy,Total War: Rome II,76,,14,1
1970,PlayStation Vita,strategy,Grand Kingdom,76,,11,1
1971,Switch,strategy,BQM - BlockQuest Maker-,76,,19,1
1972,Switch,strategy,Brigandine: The Legend of Runersia,76,,19,1
1974,PC,strategy,Transport Fever 2,76,,14,1
1975,Wii,strategy,Harvest Moon: Animal Parade,76,,0,1
1976,PC,strategy,Multiwinia: Survival of the Flattest,76,,14,1
1977,PC,strategy,American Conquest,76,,14,1
1979,PC,strategy,Dominions II: The Ascension Wars,76,,14,1
1984,PC,strategy,Mushroom Wars 2,76,,14,1
1985,Switch,strategy,Masters of Anima,76,,19,1
1986,PC,strategy,Planet Zoo: Arctic Pack,76,,14,1
1987,PC,strategy,Rush for Berlin,76,,14,1
1989,PlayStation 4,strategy,Masquerada: Songs and Shadows,76,,15,1
1990,PC,strategy,Imperator: Rome,76,,14,1
1991,PC,strategy,R.U.S.E.,76,,14,1
1992,PC,strategy,Flashpoint Germany,76,,14,1
1995,PC,strategy,Carto,76,,14,1
1996,PC,strategy,City Life,76,,14,1
1998,PlayStation 4,strategy,Mutant Year Zero: Road to Eden,76,,15,1
1999,PC,strategy,Surviving Mars,76,,14,1
2000,PC,strategy,Field of Glory: Empires,76,,14,1
2001,PC,strategy,Greed Corp,76,,14,1
2002,PC,strategy,Gigantic,76,,14,1
2003,Wii U,strategy,NOVA-111,76,,6,1
2005,PC,strategy,Myth III: The Wolf Age,76,,14,1
2006,PlayStation 3,strategy,Tom Clancy's EndWar,76,,1,1
2007,Xbox 360,strategy,Age of Booty,76,,5,1
2008,Xbox One,strategy,Surviving Mars,76,,12,1
2009,3DS,strategy,Story of Seasons,76,,9,1
2010,Xbox 360,strategy,Battlestations: Pacific,76,,5,1
2011,PlayStation 4,strategy,Battlestar Galactica Deadlock,76,,15,1
2013,PC,strategy,Aggressors: Ancient Rome,76,,14,1
2014,PlayStation 4,strategy,Utawarerumono: Prelude to the Fallen,76,,15,1
2015,PC,strategy,Broken Lines,76,,14,1
2016,Wii,strategy,Phantom Brave: We Meet Again,76,,0,1
2017,PlayStation 4,strategy,Stardust Odyssey,76,,15,1
2018,PC,strategy,Artifact,76,,14,1
2021,PlayStation 3,strategy,Worms,76,,1,1
2022,PC,strategy,Demigod,76,,14,1
2024,Xbox One,strategy,Jurassic World Evolution,76,,12,1
2025,PC,strategy,Super Monday Night Combat,76,,14,1
2026,PC,strategy,Concrete Jungle,76,,14,1
2027,Switch,strategy,Rocket Fist,76,,19,1
2028,PC,strategy,Swords & Soldiers II Shawarmageddon,76,,14,1
2029,PC,strategy,Victoria II,75,,14,1
2030,PC,strategy,A Total War Saga: Thrones of Britannia,75,,14,1
2031,PC,strategy,Star Control: Origins,75,,14,1
2032,PC,strategy,Tropico 2: Pirate Cove,75,,14,1
2033,PC,strategy,Space Colony,75,,14,1
2034,PC,strategy,Patrician III: Rise of the Hanse,75,,14,1
2035,PC,strategy,Project Hospital,75,,14,1
2036,PC,strategy,Space Run Galaxy,75,,14,1
2037,Xbox 360,strategy,Panzer General: Allied Assault,75,,5,1
2038,PC,strategy,Star Wars: Empire at War: Forces of Corruption,75,,14,1
2039,Wii,strategy,Battalion Wars 2,75,,0,1
2040,Xbox 360,strategy,Worms,75,,5,1
2041,PC,strategy,Reus,75,,14,1
2042,PC,strategy,Port Royale 2,75,,14,1
2043,PC,strategy,Beholder,75,,14,1
2044,PC,strategy,Block'hood,75,,14,1
2045,PC,strategy,Satellite Reign,75,,14,1
2046,PC,strategy,Infested Planet,75,,14,1
2048,PlayStation 3,strategy,Awesomenauts,75,,1,1
2049,PlayStation 3,strategy,Command & Conquer: Red Alert 3,75,,1,1
2050,PC,strategy,Age of Empires III: Definitive Edition,75,,14,1
2051,PC,strategy,Blitzkrieg 2,75,,14,1
2052,PC,strategy,Tropico 5,75,,14,1
2053,PC,strategy,Hero Academy,75,,14,1
2054,PC,strategy,Evil Genius,75,,14,1
2055,PC,strategy,Down in Flames,75,,14,1
2056,PC,strategy,Iron Harvest,75,,14,1
2057,Xbox 360,strategy,Tropico 3,75,,5,1
2058,PlayStation Vita,strategy,rymdkapsel,75,,11,1
2060,Xbox One,strategy,Worms W.M.D,75,,12,1
2061,PC,strategy,Atom Zombie Smasher,75,,14,1
2062,Xbox 360,strategy,Magic: The Gathering - Duels of the Planeswalkers 2012,75,,5,1
2063,PC,strategy,Hegemonia: Legions of Iron,75,,14,1
2064,PC,strategy,City Life: World Edition,75,,14,1
2065,Xbox 360,strategy,Supreme Commander 2,75,,5,1
2066,PC,strategy,Napoleon: Total War - The Peninsular Campaign,75,,14,1
2069,PlayStation 3,strategy,Magic: The Gathering - Duels of the Planeswalkers 2013,75,,1,1
2070,PC,strategy,Rebuild 3: Gangs of Deadsville,75,,14,1
2073,PlayStation 4,strategy,Yu-Gi-Oh! Legacy of the Duelist,75,,15,1
2074,Wii U,strategy,Zombie Defense,75,,6,1
2075,PC,strategy,Stars in Shadow,75,,14,1
2076,PC,strategy,Distrust,75,,14,1
2078,Switch,strategy,X-Morph: Defense,75,,19,1
2079,Switch,strategy,The Lord of the Rings: Adventure Card Game,75,,19,1
2080,PC,strategy,Stellaris: MegaCorp,75,,14,1
2081,Switch,strategy,Dungeon of the Endless,75,,19,1
2082,PC,strategy,"Yes, Your Grace",75,,14,1
2083,PC,strategy,Black & White 2,75,,14,1
2084,PC,strategy,Earth 2150: The Moon Project,75,,14,1
2085,PC,strategy,Star Wars Galactic Battlegrounds,75,,14,1
2087,PlayStation 4,strategy,Utawarerumono: Mask of Truth,75,,15,1
2088,PC,strategy,PeaceMaker,75,,14,1
2089,PC,strategy,Immortal Cities: Children of the Nile,75,,14,1
2090,Switch,strategy,Fire Emblem: Three Houses - Side Story: Cindered Shadows,75,,19,1
2091,PC,strategy,Crying Suns,75,,14,1
2092,PC,strategy,BattleForge,75,,14,1
2093,PC,strategy,Ravenmark: Scourge of Estellion,75,,14,1
2094,Xbox 360,strategy,Magic: The Gathering - Duels of the Planeswalkers,75,,5,1
2096,PC,strategy,SimCoaster,75,,14,1
2098,Xbox 360,strategy,Culdcept Saga,75,,5,1
2099,PC,strategy,Iron Brigade,75,,14,1
2100,Wii,strategy,"Sakura Wars: So Long, My Love",75,,0,1
2102,PC,strategy,Blitzkrieg: Burning Horizon,75,,14,1
2104,PlayStation 4,strategy,Carto,75,,15,1
2105,Switch,strategy,Jurassic World Evolution: Complete Edition,75,,19,1
2106,Xbox One,strategy,Prison Architect,75,,12,1
2107,Xbox 360,strategy,Command & Conquer 3: Kane's Wrath,75,,5,1
2108,PlayStation Vita,strategy,NOVA-111,75,,11,1
2109,PC,strategy,Dungeons 3,75,,14,1
2110,PC,strategy,A Total War Saga: TROY,75,,14,1
2112,PC,strategy,Chroma Squad,75,,14,1
2113,Switch,strategy,Doraemon: Story of Seasons,75,,19,1
2114,PC,strategy,Sorcerer King,75,,14,1
2115,Wii U,strategy,Swords & Soldiers II,75,,6,1
2116,PlayStation 3,strategy,The Eye of Judgment,75,,1,1
2117,PC,strategy,Worms World Party,75,,14,1
2118,PC,strategy,Magic: The Gathering Online,75,,14,1
2119,PC,strategy,Sol Survivor,75,,14,1
2120,PlayStation 3,strategy,Guardians of Middle-Earth,75,,1,1
2121,PC,strategy,Total War: Arena,75,,14,1
2123,Xbox One,strategy,Tropico 5 Penultimate Edition,75,,12,1
2124,PlayStation 4,strategy,Reus,75,,15,1
2125,Switch,strategy,Overland,75,,19,1
2126,PlayStation 4,strategy,Anomaly 2,74,,15,1
2127,PC,strategy,Railway Empire,74,,14,1
2128,Xbox One,strategy,Project Highrise: Architect's Edition,74,,12,1
2129,PC,strategy,Battlestations: Pacific,74,,14,1
2130,PlayStation 4,strategy,Awesomenauts Assemble!,74,,15,1
2131,PlayStation 4,strategy,CastleStorm: Definitive Edition,74,,15,1
2133,PC,strategy,SpellForce: The Order of Dawn,74,,14,1
2134,PC,strategy,Space Colony (Steam Edition),74,,14,1
2135,3DS,strategy,Story of Seasons: Trio of Towns,74,,9,1
2138,PC,strategy,Bad North,74,,14,1
2139,PlayStation 4,strategy,Masters of Anima,74,,15,1
2140,PC,strategy,Take Command: 2nd Manassas,74,,14,1
2141,PlayStation 3,strategy,Age of Booty,74,,1,1
2142,Switch,strategy,Alder's Blood,74,,19,1
2143,PC,strategy,Blackguards 2,74,,14,1
2144,PlayStation 3,strategy,Disgaea D2: A Brighter Darkness,74,,1,1
2147,PC,strategy,Ring of Pain,74,,14,1
2148,3DS,strategy,Harvest Moon 3D: A New Beginning,74,,9,1
2149,PC,strategy,Pendragon,74,,14,1
2150,PC,strategy,Blitzkrieg (2003),74,,14,1
2151,PlayStation 4,strategy,Nobunaga's Ambition: Sphere of Influence - Ascension,74,,15,1
2152,PC,strategy,Stellar Impact,74,,14,1
2153,Xbox One,strategy,Masters of Anima,74,,12,1
2154,PC,strategy,Partisans 1941,74,,14,1
2155,PC,strategy,Total Annihilation: Kingdoms,74,,14,1
2156,PC,strategy,Worms 3D,74,,14,1
2158,PC,strategy,Phoenix Point,74,,14,1
2159,PC,strategy,Crookz: The Big Heist,74,,14,1
2160,PlayStation 4,strategy,Ancestors Legacy,74,,15,1
2161,PC,strategy,Massive Assault Network,74,,14,1
2162,Xbox One,strategy,Gigantic,74,,12,1
2163,PlayStation 3,strategy,Magic: The Gathering - Duels of the Planeswalkers 2012,74,,1,1
2164,PC,strategy,King's Bounty: Warriors of the North,74,,14,1
2165,Xbox 360,strategy,Gatling Gears,74,,5,1
2166,PC,strategy,1503 A.D. - The New World,74,,14,1
2167,PC,strategy,The Settlers: Fourth Edition,74,,14,1
2170,PC,strategy,Dawn of Man,74,,14,1
2171,Switch,strategy,Warhammer Age of Sigmar: Champions,74,,19,1
2173,PlayStation 4,strategy,God Wars: Future Past,74,,15,1
2175,PC,strategy,Cossacks: European Wars,74,,14,1
2176,PC,strategy,RollerCoaster Tycoon 2,74,,14,1
2177,Wii U,strategy,Star Fox Guard,74,,6,1
2178,PC,strategy,Mordheim: City of the Damned,74,,14,1
2179,PlayStation 4,strategy,Chroma Squad,74,,15,1
2180,PC,strategy,Fort Triumph,74,,14,1
2183,PlayStation 3,strategy,Worms Revolution,74,,1,1
2186,PC,strategy,Ceres,74,,14,1
2187,PlayStation Vita,strategy,God Wars: Future Past,74,,11,1
2188,Switch,strategy,Kingdom: New Lands,74,,19,1
2189,Switch,strategy,One Step From Eden,74,,19,1
2190,PC,strategy,Cities: Skylines - Campus,74,,14,1
2191,PC,strategy,Stellaris: Federations,74,,14,1
2192,PC,strategy,Act of War: High Treason,74,,14,1
2193,PC,strategy,TASTEE: Lethal Tactics,74,,14,1
2194,PC,strategy,Zoo Tycoon 2: Marine Mania,74,,14,1
2195,PC,strategy,Cubemen,74,,14,1
2196,PC,strategy,Disgaea PC,74,,14,1
2197,PC,strategy,John Wick Hex,74,,14,1
2198,Xbox One,strategy,Beholder: Complete Edition,74,,12,1
2199,Switch,strategy,"Yes, Your Grace",74,,19,1
2200,PC,strategy,Eador: Masters of the Broken World,74,,14,1
2201,PC,strategy,Nemesis of the Roman Empire,74,,14,1
2202,PC,strategy,Tin Soldiers: Julius Caesar,74,,14,1
2203,PC,strategy,Caesar IV,74,,14,1
2206,PC,strategy,Hearthstone: Heroes of Warcraft - One Night in Karazhan,74,,14,1
2207,Switch,strategy,World Conqueror X,74,,19,1
2208,Switch,strategy,Professor Lupo and his Horrible Pets,74,,19,1
2209,Switch,strategy,Railway Empire: Switch Edition,74,,19,1
2211,PC,strategy,Master of Orion: Conquer the Stars,74,,14,1
2212,PC,strategy,Cossacks: The Art of War,74,,14,1
2215,PC,strategy,Oriental Empires,74,,14,1
2216,PC,strategy,Forts,74,,14,1
2219,PC,strategy,Phantom Doctrine,73,,14,1
2221,PC,strategy,Europa Universalis: Rome,73,,14,1
2222,Switch,strategy,Defense Grid 2,73,,19,1
2224,PC,strategy,Fieldrunners 2,73,,14,1
2229,PC,strategy,Halcyon 6: Lightspeed Edition,73,,14,1
2231,PC,strategy,Scrolls,73,,14,1
2232,PlayStation 4,strategy,Phantom Doctrine,73,,15,1
2233,PC,strategy,The Legend of Bum-bo,73,,14,1
2235,PC,strategy,Nowhere Prophet,73,,14,1
2236,PC,strategy,Cossacks II: Napoleonic Wars,73,,14,1
2237,PC,strategy,The Political Machine 2008,73,,14,1
2239,Switch,strategy,Kingdom Rush Frontiers,73,,19,1
2240,Xbox One,strategy,WARTILE,73,,12,1
2241,PlayStation 3,strategy,Savage Moon,73,,1,1
2242,PC,strategy,Regalia: Of Men and Monarchs,73,,14,1
2243,PC,strategy,Space Run,73,,14,1
2244,PC,strategy,Warrior Kings,73,,14,1
2245,PC,strategy,Total War: WARHAMMER II - The Queen & the Crone,73,,14,1
2246,PC,strategy,King's Bounty: Dark Side,73,,14,1
2247,Xbox 360,strategy,Battlestations: Midway,73,,5,1
2248,PC,strategy,Laser Squad Nemesis,73,,14,1
2249,PC,strategy,Treasure Planet: Battle at Procyon,73,,14,1
2250,PC,strategy,Sheep,73,,14,1
2252,PlayStation 3,strategy,Eufloria,73,,1,1
2253,PC,strategy,War Front: Turning Point,73,,14,1
2254,PC,strategy,Warhammer: Mark of Chaos,73,,14,1
2255,3DS,strategy,Project X Zone 2,73,,9,1
2256,PC,strategy,Blitzkrieg: Rolling Thunder,73,,14,1
2257,PlayStation 4,strategy,NOVA-111,73,,15,1
2258,PC,strategy,Impossible Creatures Steam Edition,73,,14,1
2259,PlayStation 4,strategy,No Heroes Allowed! VR,73,,15,1
2260,PlayStation 4,strategy,Surviving Mars,73,,15,1
2261,PC,strategy,StarCraft II: Nova Covert Ops - Mission Pack 1,73,,14,1
2262,PC,strategy,Warlock 2: The Exiled,73,,14,1
2263,PC,strategy,Banished,73,,14,1
2265,Xbox 360,strategy,Thrillville: Off the Rails,73,,5,1
2266,Wii,strategy,Yu-Gi-Oh! 5D's Wheelie Breakers,73,,0,1
2268,PlayStation 4,strategy,Aven Colony,73,,15,1
2269,Xbox One,strategy,They Are Billions,73,,12,1
2270,Xbox 360,strategy,Worms Revolution,73,,5,1
2271,PC,strategy,Crusader Kings,73,,14,1
2272,PC,strategy,CastleStorm,73,,14,1
2273,PC,strategy,Worms Clan Wars,73,,14,1
2274,Wii U,strategy,PixelJunk Monsters,73,,6,1
2275,PC,strategy,Steel Division 2,73,,14,1
2276,PC,strategy,Time of Defiance,73,,14,1
2277,PC,strategy,SpellForce 3,73,,14,1
2278,PC,strategy,Turmoil,73,,14,1
2279,PC,strategy,112 Operator,73,,14,1
2280,PC,strategy,Starpoint Gemini Warlords,73,,14,1
2281,PC,strategy,Worms Revolution,73,,14,1
2282,PC,strategy,Hard West,73,,14,1
2284,PC,strategy,Thea: The Awakening,73,,14,1
2285,PC,strategy,Space Hulk: Tactics,73,,14,1
2286,PC,strategy,Soldiers of Anarchy,73,,14,1
2288,PC,strategy,Massive Chalice,73,,14,1
2289,PC,strategy,"Warhammer 40,000: Dawn of War - Soulstorm",73,,14,1
2291,PC,strategy,Iron Danger,73,,14,1
2292,PC,strategy,Earth 2160,73,,14,1
2293,Wii,strategy,Final Fantasy Crystal Chronicles: My Life as a Darklord,73,,0,1
2294,PC,strategy,Unstoppable Gorg,73,,14,1
2295,PC,strategy,The Sting!,73,,14,1
2297,PlayStation Vita,strategy,Deception IV: The Nightmare Princess,73,,11,1
2298,PC,strategy,Project Highrise,73,,14,1
2299,Xbox One,strategy,Sudden Strike 4: European Battlefields Edition,73,,12,1
2300,PC,strategy,Grimmwood: They Come at Night,73,,14,1
2301,PC,strategy,Stellaris: Apocalypse,73,,14,1
2302,PC,strategy,Warlords Battlecry III,73,,14,1
2303,PlayStation 4,strategy,Sakura Wars,73,,15,1
2304,PC,strategy,Warlords IV: Heroes of Etheria,73,,14,1
2309,PC,strategy,Ancient Enemy,73,,14,1
2310,PC,strategy,BattleTech: Heavy Metal,73,,14,1
2311,PC,strategy,Gratuitous Space Battles,72,,14,1
2312,PC,strategy,Majesty 2: The Fantasy Kingdom Sim,72,,14,1
2313,PC,strategy,Skulls of the Shogun,72,,14,1
2316,Switch,strategy,Project Highrise: Architect's Edition,72,,19,1
2317,Switch,strategy,Mushroom Wars 2,72,,19,1
2318,PC,strategy,Cultures 2: The Gates of Asgard,72,,14,1
2319,PC,strategy,Call to Power II,72,,14,1
2320,PC,strategy,Impossible Creatures,72,,14,1
2321,Xbox One,strategy,Ancestors Legacy,72,,12,1
2322,PC,strategy,Grand Ages: Rome,72,,14,1
2323,PlayStation 4,strategy,CastleStorm: Virtual Reality,72,,15,1
2324,PC,strategy,Anno 2205,72,,14,1
2325,Xbox 360,strategy,Commanders: Attack of the Genos,72,,5,1
2326,PC,strategy,The Last Federation,72,,14,1
2327,Switch,strategy,Regalia: Of Men and Monarchs - Royal Edition,72,,19,1
2330,PC,strategy,Commandos 3: Destination Berlin,72,,14,1
2332,3DS,strategy,Return to PoPoLoCrois: A Story of Seasons Fairytale,72,,9,1
2333,PC,strategy,Hitman GO: Definitive Edition,72,,14,1
2334,PC,strategy,Aarklash: Legacy,72,,14,1
2336,PC,strategy,Renowned Explorers: International Society,72,,14,1
2337,Xbox One,strategy,Dungeons 3,72,,12,1
2340,PC,strategy,Hearts of Iron,72,,14,1
2341,PC,strategy,Disciples II: Guardians of the Light,72,,14,1
2342,PC,strategy,Unheard,72,,14,1
2343,PC,strategy,The Political Machine 2016,72,,14,1
2345,Xbox One,strategy,Massive Chalice,72,,12,1
2347,PC,strategy,Big Pharma,72,,14,1
2348,PlayStation 4,strategy,PixelJunk Monsters 2,72,,15,1
2349,PC,strategy,World in Conflict: Soviet Assault,72,,14,1
2350,PC,strategy,Qvadriga,72,,14,1
2351,PC,strategy,Judgment: Apocalypse Survival Simulation,72,,14,1
2352,PlayStation 4,strategy,Comet Crash 2: The Kronkoid Wars,72,,15,1
2353,Xbox 360,strategy,South Park Let's Go Tower Defense Play!,72,,5,1
2355,PC,strategy,"Warhammer 40,000: Regicide",72,,14,1
2356,PC,strategy,Zoo Tycoon 2,72,,14,1
2357,PC,strategy,Ultimate Ride: Disney Coaster,72,,14,1
2358,PC,strategy,Space Hulk Ascension,72,,14,1
2360,PC,strategy,Before We Leave,72,,14,1
2361,PC,strategy,Perimeter: Emperor's Testament,72,,14,1
2362,PC,strategy,The Political Machine,72,,14,1
2364,PC,strategy,Super Dragon Ball Heroes: World Mission,72,,14,1
2365,PlayStation 4,strategy,Tools Up!,72,,15,1
2366,PlayStation 4,strategy,They Are Billions,72,,15,1
2368,PC,strategy,Black & White: Creature Isle,72,,14,1
2369,PC,strategy,The Gladiators: The Galactic Circus Games,72,,14,1
2371,PC,strategy,Cannon Brawl,72,,14,1
2373,PC,strategy,Flotilla,72,,14,1
2377,PC,strategy,All Walls Must Fall,72,,14,1
2378,Switch,strategy,Bad North,72,,19,1
2379,Switch,strategy,Swords & Soldiers,72,,19,1
2380,PC,strategy,Kingdoms and Castles,72,,14,1
2381,PC,strategy,Cities: Skylines - Snowfall,72,,14,1
2382,PC,strategy,Jurassic Park: Operation Genesis,72,,14,1
2385,PC,strategy,Dungeons: The Dark Lord,72,,14,1
2387,Xbox 360,strategy,Command & Conquer: Red Alert 3 - Commander's Challenge,72,,5,1
2388,PC,strategy,PixelJunk Monsters: Ultimate,72,,14,1
2389,PC,strategy,Total War: WARHAMMER - Call of the Beastmen,72,,14,1
2390,PlayStation 4,strategy,Mordheim: City of the Damned,72,,15,1
2391,Switch,strategy,RollerCoaster Tycoon 3: Complete Edition,72,,19,1
2393,PC,strategy,Star Wars Galactic Battlegrounds: Clone Campaigns,71,,14,1
2399,PC,strategy,Immortal Realms: Vampire Wars,71,,14,1
2400,Xbox 360,strategy,Record of Agarest War,71,,5,1
2401,PC,strategy,Battle Realms: Winter of the Wolf,71,,14,1
2402,PC,strategy,Magic & Mayhem: The Art of Magic,71,,14,1
2403,PlayStation 4,strategy,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,71,,15,1
2404,PC,strategy,Europa Universalis III: Divine Wind,71,,14,1
2405,PC,strategy,J.U.L.I.A.: Among the Stars,71,,14,1
2406,PC,strategy,UFO: Afterlight,71,,14,1
2407,PC,strategy,March of the Eagles,71,,14,1
2409,PC,strategy,Toy Soldiers,71,,14,1
2412,PC,strategy,Attack of the Earthlings,71,,14,1
2413,PC,strategy,Majesty: The Northern Expansion,71,,14,1
2415,PC,strategy,Sid Meier's Ace Patrol,71,,14,1
2416,Xbox One,strategy,"Warhammer 40,000: Inquisitor - Martyr",71,,12,1
2419,PC,strategy,Worms 4: Mayhem,71,,14,1
2420,PC,strategy,Elven Legacy,71,,14,1
2421,PC,strategy,Industry Giant II,71,,14,1
2422,PC,strategy,Mutant Year Zero: Road to Eden - Seed of Evil,71,,14,1
